x,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,F
-3.1415926536,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,-0.2500000000
-3.0415926536,-0.0998334166,-0.0993346654,-0.0985067356,-0.0973545856,-0.0958851077,-0.0941070789,-0.0920310982,-0.0896695114,-0.0870363233,-0.0841470985,-0.0810188509,-0.0776699238,-0.0741198604,-0.0703892664,-0.0664996658,-0.0624733502,-0.0583332241,-0.0541026462,-0.0498052678,-0.0454648713,-0.0411052079,-0.0367498365,-0.0324219657,-0.0281442992,-0.0239388858,-1.9901427433
-2.9415926536,-0.1986693308,-0.1947091712,-0.1882141578,-0.1793390227,-0.1682941970,-0.1553398477,-0.1407785329,-0.1249467004,-0.1082052923,-0.0909297427,-0.0734996731,-0.0562885984,-0.0396539517,-0.0239277250,-0.0094080005,0.0036483840,0.0150318295,0.0245844691,0.0322030469,0.0378401248,0.0415036082,0.0432546397,0.0432039567,0.0415068587,0.0383569710,-1.6810700555
-2.8415926536,-0.2955202067,-0.2823212367,-0.2611089699,-0.2330097715,-0.1994989973,-0.1623079385,-0.1233156238,-0.0844328976,-0.0474866534,-0.0141120008,0.0143405176,0.0368767036,0.0529050892,0.0622554123,0.0651686745,0.0622602881,0.0544596872,0.0429313604,0.0289834496,0.0139707749,-0.0008006619,-0.0141609711,-0.0251495550,-0.0330694943,-0.0375199991,-1.6296630200
-2.7415926536,-0.3894183423,-0.3586780454,-0.3106796953,-0.2498934008,-0.1818594854,-0.1125771968,-0.0478554500,0.0072967679,0.0491689381,0.0756802495,0.0865092794,0.0830137174,0.0679580504,0.0450904741,0.0186276999,-0.0072843253,-0.0290654912,-0.0440926591,-0.0509431406,-0.0494679123,-0.0406951861,-0.0265871451,-0.0096908658,0.0072636159,0.0217608444,-1.6964187044
-2.6415926536,-0.4794255386,-0.4207354924,-0.3324983289,-0.2273243567,-0.1196944288,-0.0235200013,0.0501118897,0.0946003119,0.1086144575,0.0958924275,0.0641400296,0.0232846248,-0.0165476914,-0.0469276142,-0.0625333318,-0.0618348904,-0.0469698302,-0.0228954714,0.0039553221,0.0272010555,0.0418902743,0.0454541003,0.0380631380,0.0223572049,0.0026528759,-1.4926892640
-2.5415926536,-0.5646424734,-0.4660195430,-0.3246158770,-0.1688657951,-0.0282240016,0.0737534072,0.1245108246,0.1245205761,0.0858627208,0.0279415498,-0.0283219421,-0.0661389887,-0.0768110266,-0.0610427791,-0.0274745657,0.0108954238,0.0411690993,0.0544964572,0.0483857119,0.0268286459,-0.0016010975,-0.0269124325,-0.0410302465,-0.0402357407,-0.0260115136,-1.5795836063
-2.4415926536,-0.6442176872,-0.4927248650,-0.2877364555,-0.0837470375,0.0701566455,0.1452626287,0.1403503732,0.0789083297,-0.0018682112,-0.0656986599,-0.0898334758,-0.0712165757,-0.0245460279,0.0261770807,0.0586463840,0.0611986081,0.0363610066,-0.0018679471,-0.0352405138,-0.0495303678,-0.0402736586,-0.0137781071,0.0166118007,0.0369819597,0.0390250402,-1.4425997328
-2.3415926536,-0.7173560909,-0.4997868015,-0.2251543935,0.0145935359,0.1513604991,0.1660274348,0.0901809483,-0.0145686506,-0.0881853182,-0.0989358247,-0.0531742903,0.0145272318,0.0636789592,0.0699412664,0.0357715279,-0.0144693641,-0.0505389303,-0.0536476543,-0.0255999310,0.0143951658,0.0422650968,0.0431292954,0.0188941575,-0.0143047887,-0.0365178100,-1.4174747293
-2.2415926536,-0.7833269096,-0.4869238154,-0.1424599601,0.1106301108,0.1955060235,0.1287940813,-0.0024019858,-0.0992084830,-0.1077655345,-0.0412118485,0.0415941722,0.0817446858,0.0586141218,-0.0024016462,-0.0535856284,-0.0603536110,-0.0233376808,0.0262456659,0.0517928950,0.0375493623,-0.0024010804,-0.0369851699,-0.0417892489,-0.0158854372,0.0194869805,-1.3980799405
