x,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,F
-3.1415926536,30.9568352087,16.7392088022,8.1803890973,4.7473022005,3.0814734083,2.1562083854,1.5913723137,1.2219818001,0.9674597854,0.7847683521,0.6492573636,0.5459965408,0.4655195949,0.4015915166,0.3499711194,0.3076927157,0.2726323365,0.2432366885,0.2183486737,0.1970920880,0.1787936319,0.1629290530,0.1490852514,0.1369331630,0.1262080563,94.3141053539
-3.0415926536,31.0018468098,16.6042084173,8.0120376710,4.5672640548,2.8960175435,1.9678097315,1.4012108776,1.0307019416,0.7754552931,0.5923063472,0.4565383238,0.3531859281,0.2727656672,0.2090358955,0.1577553092,0.1159622201,0.0815392728,0.0529414072,0.0290206874,0.0089104937,-0.0080528527,-0.0223842567,-0.0344879966,-0.0446850554,-0.0532330070,89.9054889306
-2.9415926536,30.7370982054,15.8072506405,7.1279947814,3.6661553399,2.0015155819,1.0919985240,0.5520380712,0.2142121159,-0.0033983051,-0.1447193818,-0.2350893377,-0.2900372211,-0.3195906020,-0.3305330487,-0.3276527812,-0.3144647985,-0.2936441092,-0.2672934857,-0.2371128447,-0.2045082356,-0.1706627292,-0.1365827329,-0.1031282010,-0.0710322048,-0.0409134889,77.1897179587
-2.8415926536,30.1652346761,14.3801076632,5.6072293469,2.1862413082,0.6169728006,-0.1652791848,-0.5567668659,-0.7322159048,-0.7796801338,-0.7486907785,-0.6698095473,-0.5633804005,-0.4437458905,-0.3213954114,-0.2041097909,-0.0975977763,-0.0058704193,0.0685178725,0.1242915303,0.1613004168,0.1803696808,0.1831424385,0.1719116915,0.1494424584,0.1187881679,68.3068261546
-2.7415926536,29.2919700931,12.3796751725,3.5855868147,0.3611678450,-0.9186264401,-1.3648201193,-1.4037156463,-1.2344915830,-0.9659155813,-0.6643193263,-0.3725566878,-0.1182532925,0.0821875902,0.2212797291,0.2987764703,0.3201644154,0.2951568516,0.2361586774,0.1567485347,0.0702589192,-0.0114551323,-0.0789763264,-0.1259530747,-0.1493636544,-0.1494192757,59.2230831800
-2.6415926536,28.1260298277,9.8857040990,1.2436544910,-1.5209260795,-2.2293138899,-2.0875901200,-1.5904750245,-0.9879412323,-0.4211653739,0.0308242509,0.3318290101,0.4776804054,0.4877160587,0.3966159781,0.2463790138,0.0789004803,-0.0701882513,-0.1758293649,-0.2256418621,-0.2197764708,-0.1688035230,-0.0901871258,-0.0040726646,0.0708371818,0.1206244296,51.1867024508
-2.5415926536,26.6790635694,6.9976211992,-1.2093697844,-3.1628992182,-2.9941875495,-2.0811048314,-1.0292091468,-0.1421189869,0.4423143919,0.6976281539,0.6735893917,0.4644356906,0.1787393587,-0.0864563599,-0.2639201463,-0.3247721281,-0.2770701121,-0.1562610774,-0.0108532150,0.1126596469,0.1818947344,0.1851267750,0.1313801122,0.0448938690,-0.0438557077,44.4890868361
-2.4415926536,24.9655289269,3.8305652245,-3.5543646588,-4.3055201162,-3.0259796710,-1.3476297515,0.0161098744,0.7899107289,0.9710594441,0.7230359495,0.2792460609,-0.1410966575,-0.3920909206,-0.4260054590,-0.2837169590,-0.0599340983,0.1415861683,0.2468350530,0.2326593244,0.1260105594,-0.0148541732,-0.1277075021,-0.1709981723,-0.1370460956,-0.0503549892,37.7670662971
-2.3415926536,23.0025469719,0.5107967023,-5.5818587240,-4.7683940576,-2.3169064344,-0.1433888278,1.0538521700,1.2427911961,0.7649260686,0.0836878276,-0.4202595314,-0.5666906266,-0.3885070826,-0.0583575016,0.2237814589,0.3282722222,0.2405849156,0.0440981952,-0.1395794495,-0.2175374383,-0.1668965915,-0.0348147597,0.0964838515,0.1572199902,0.1245388639,32.5522076158
-2.2415926536,20.8097311711,-2.8293356725,-7.1107419735,-4.4784434249,-1.0405736976,1.1109419388,1.5959513231,0.9418112004,-0.0200881056,-0.6326024971,-0.6605022478,-0.2695928284,0.1842405416,0.4061677434,0.3153763074,0.0407633142,-0.2035822518,-0.2668734577,-0.1424101649,0.0550444741,0.1833683613,0.1686845521,0.0424284189,-0.0948199699,-0.1491920422,27.4375692191
-2.1415926536,18.4089914153,-6.0566713625,-8.0044438202,-3.4814450474,0.4905277716,1.9771887241,1.3874496316,0.0695411684,-0.7899000020,-0.7672810033,-0.1789429842,0.3713125227,0.4870753407,0.1964278434,-0.1791637839,-0.3306527608,-0.1881240110,0.0771702220,0.2316588905,0.1717242707,-0.0182490144,-0.1637273350,-0.1530219277,-0.0173806904,0.1145096403,23.1363919054
