x,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,F
-3.141593,-8.000000,-2.000000,-0.888889,-0.500000,-0.320000,-0.222222,-0.163265,-0.125000,-0.098765,-0.080000,-0.066116,-0.055556,-0.047337,-0.040816,-0.035556,-0.031250,-0.027682,-0.024691,-0.022161,-0.020000,-0.018141,-0.016529,-0.015123,-0.013889,-0.012800,-18.425523
-3.041593,-7.760366,-1.761464,-0.652175,-0.265821,-0.089056,0.004806,0.059190,0.092251,0.112679,0.125070,0.132048,0.135209,0.135577,0.133841,0.130484,0.125859,0.120233,0.113815,0.106775,0.099253,0.091369,0.083227,0.074920,0.066530,0.058132,-14.107350
-2.941593,-7.443194,-1.452704,-0.357203,0.010325,0.163692,0.230156,0.253807,0.253543,0.238850,0.215151,0.185909,0.153544,0.119871,0.086314,0.054016,0.023900,-0.003301,-0.027027,-0.046878,-0.062607,-0.074114,-0.081429,-0.084712,-0.084229,-0.080345,-13.388403
-2.841593,-7.051651,-1.086029,-0.030324,0.284841,0.376362,0.375105,0.329055,0.261040,0.184264,0.107423,0.036607,-0.023933,-0.071447,-0.104500,-0.122842,-0.127255,-0.119382,-0.101534,-0.076465,-0.047145,-0.016537,0.012616,0.037963,0.057690,0.070603,-12.425212
-2.741593,-6.589651,-0.676057,0.299264,0.514387,0.496886,0.389020,0.249543,0.110193,-0.009769,-0.099069,-0.152699,-0.170888,-0.158094,-0.121837,-0.071395,-0.016468,0.034065,0.073164,0.096318,0.101846,0.090811,0.066581,0.034124,-0.000851,-0.032782,-11.123097
-2.641593,-6.061809,-0.239134,0.602119,0.662722,0.495755,0.267038,0.052667,-0.107495,-0.196410,-0.214478,-0.175134,-0.099912,-0.013134,0.063084,0.112742,0.128217,0.110604,0.068288,0.014187,-0.037621,-0.075154,-0.090981,-0.083435,-0.056435,-0.018078,-10.471522
-2.541593,-5.473400,0.207324,0.851189,0.706428,0.373246,0.051773,-0.168979,-0.259979,-0.234411,-0.132697,-0.006181,0.098481,0.151068,0.143281,0.087345,0.008981,-0.062566,-0.104195,-0.105491,-0.070534,-0.014928,0.040504,0.077058,0.084080,0.061747,-9.270594
-2.441593,-4.830302,0.645515,1.024225,0.638605,0.159353,-0.181578,-0.311152,-0.254762,-0.095015,0.071085,0.169527,0.171283,0.093955,-0.014378,-0.100385,-0.128741,-0.094482,-0.020942,0.054021,0.096326,0.090227,0.043308,-0.019248,-0.067566,-0.080859,-8.521716
-2.341593,-4.138941,1.057973,1.105770,0.469960,-0.093555,-0.351499,-0.306985,-0.095011,0.116287,0.209512,0.159975,0.025650,-0.100802,-0.148168,-0.101547,-0.001462,0.086913,0.113711,0.070562,-0.009637,-0.076173,-0.091477,-0.051409,0.015565,0.067812,-7.646715
-2.241593,-3.406226,1.428252,1.088540,0.227119,-0.323557,-0.398631,-0.158438,0.122373,0.239585,0.155314,-0.024399,-0.152693,-0.147884,-0.035990,0.086019,0.128827,0.072085,-0.030729,-0.099645,-0.088305,-0.013315,0.064362,0.087753,0.044611,-0.027796,-6.742507
-2.141593,-2.639476,1.741591,0.974073,-0.051579,-0.474342,-0.306510,0.064624,0.265527,0.181570,-0.041678,-0.182109,-0.136310,0.021685,0.135934,0.113716,-0.006061,-0.105489,-0.099747,-0.006134,0.083133,0.089618,0.015724,-0.065526,-0.081356,-0.023276,-6.112134
-2.041593,-1.846354,1.985499,0.772596,-0.322135,-0.508990,-0.107316,0.257293,0.247616,-0.013853,-0.200352,-0.140809,0.053908,0.159485,0.082199,-0.069931,-0.128473,-0.044902,0.076055,0.103611,0.019114,-0.077171,-0.082868,-0.000435,0.075372,0.065090,-5.225488
-1.941593,-1.034784,2.150251,0.502105,-0.541832,-0.419021,0.129367,0.328953,0.079504,-0.198793,-0.174823,0.054368,0.175377,0.063639,-0.107992,-0.123610,0.013564,0.117059,0.065188,-0.060859,-0.099041,-0.011699,0.081813,0.066106,-0.029802,-0.081017,-4.635714
