x,1,2,3,4,5,6,7,8,9,10,F
0.258407,-30.440095,15.047139,-6.309554,2.858794,-1.232468,0.377145,0.097610,-0.362234,0.501040,-0.560115,-0.540918
0.358407,-29.691302,13.276714,-4.476541,1.144437,0.285948,-0.902133,1.114338,-1.108560,0.982704,-0.794826,-0.687403
0.458407,-28.645843,10.976988,-2.243652,-0.750603,1.734353,-1.866270,1.606976,-1.182449,0.720677,-0.298778,-0.466782
0.558407,-27.314165,8.239643,0.189656,-2.527138,2.758129,-2.178465,1.343828,-0.539080,-0.086743,0.471965,-0.160552
0.658407,-25.709573,5.173811,2.606023,-3.904694,3.106618,-1.729660,0.448657,0.431288,-0.828518,0.808785,-0.115446
0.758407,-23.848099,1.901714,4.789601,-4.665785,2.694499,-0.676635,-0.657525,1.140042,-0.943287,0.402012,-0.381644
0.858407,-21.748343,-1.446197,6.545338,-4.690251,1.622672,0.612759,-1.454463,1.157262,-0.344195,-0.374369,-0.637968
0.958407,-19.431284,-4.736453,7.716400,-3.974229,0.153559,1.688098,-1.567344,0.472503,0.515377,-0.806557,-0.488113
1.058407,-16.920075,-7.837882,8.198179,-2.630764,-1.353151,2.173736,-0.943079,-0.498871,0.984922,-0.497200,0.157634
1.158407,-14.239806,-10.626839,7.947639,-0.871959,-2.528562,1.900025,0.124731,-1.167636,0.709098,0.269280,0.997789
1.258407,-11.417257,-12.992138,6.987160,1.024509,-3.084893,0.962581,1.133878,-1.128129,-0.103358,0.788186,1.652357
1.358407,-8.480631,-14.839481,5.402539,2.759229,-2.885935,-0.311120,1.609744,-0.404314,-0.837594,0.582437,2.076692
1.458407,-5.459269,-16.095221,3.335325,4.058328,-1.980399,-1.476138,1.328523,0.564752,-0.937956,-0.158802,2.660961
1.558407,-2.383360,-16.709295,0.970176,4.716706,-0.589992,-2.125499,0.422476,1.191247,-0.328491,-0.754039,3.891747
1.658407,0.716362,-16.657222,-1.481635,4.630420,0.944865,-2.032362,-0.682268,1.095148,0.529569,-0.656016,5.888680
1.758407,3.808927,-15.941079,-3.801097,3.813093,2.248386,-1.229262,-1.466130,0.334746,0.986862,0.045145,8.281410
1.858407,6.863435,-14.589415,-5.781017,2.393761,3.001424,0.003254,-1.560449,-0.628708,0.697318,0.704800,10.586222
1.958407,9.849365,-12.656117,-7.244537,0.596508,3.019609,1.234634,-0.920864,-1.210796,-0.119943,0.716465,12.746143
2.058407,12.736884,-10.218259,-8.060924,-1.294921,2.298488,2.034720,0.151818,-1.058432,-0.846433,0.069416,15.294175
2.158407,15.497140,-7.373032,-8.157253,-2.981910,1.014617,2.124020,1.153097,-0.264037,-0.932359,-0.641454,18.920647
2.258407,18.102554,-4.233865,-7.524918,-4.198122,-0.517668,1.471339,1.612057,0.690519,-0.312695,-0.762574,23.808446
2.358407,20.527093,-0.925908,-6.220405,-4.751542,-1.923209,0.304677,1.312841,1.226216,0.543611,-0.182587,29.392605
2.458407,22.746532,2.418963,-4.360241,-4.554798,-2.857882,-0.968418,0.396176,1.018106,0.988523,0.565270,34.874048
2.558407,24.738695,5.667397,-2.110591,-3.638952,-3.092846,-1.903216,-0.706817,0.192427,0.685340,0.793420,40.106676
2.658407,26.483677,8.689890,0.327593,-2.148595,-2.570573,-2.173166,-1.477383,-0.749976,-0.136494,0.292103,46.018895
2.758407,27.964044,11.365945,2.736513,-0.319023,-1.418934,-1.683967,-1.553112,-1.237453,-0.855032,-0.477772,54.003026
2.858407,29.165002,13.588875,4.900989,1.560917,0.080109,-0.606509,-0.898389,-0.974308,-0.926499,-0.808386,64.563619
2.958407,30.074554,15.270059,6.627675,3.194422,1.559539,0.682819,0.178861,-0.120161,-0.296810,-0.395774,76.257002
3.058407,30.683611,16.342475,7.762329,4.323598,2.657139,1.733620,1.171990,0.806874,0.557499,0.380711,85.901664
3.141593,30.956835,16.739209,8.180389,4.747302,3.081473,2.156208,1.591372,1.221982,0.967460,0.784768,89.908818
