x,1,2,3,4,5,6,7,8,9,10,F
-3.141593,30.956835,16.739209,8.180389,4.747302,3.081473,2.156208,1.591372,1.221982,0.967460,0.784768,89.908818
-3.041593,31.001847,16.604208,8.012038,4.567264,2.896018,1.967810,1.401211,1.030702,0.775455,0.592306,88.330677
-2.941593,30.737098,15.807251,7.127995,3.666155,2.001516,1.091999,0.552038,0.214212,-0.003398,-0.144719,80.531964
-2.841593,30.165235,14.380108,5.607229,2.186241,0.616973,-0.165279,-0.556767,-0.732216,-0.779680,-0.748691,69.454971
-2.741593,29.291970,12.379675,3.585587,0.361168,-0.918626,-1.364820,-1.403716,-1.234492,-0.965916,-0.664319,58.548329
-2.641593,28.126030,9.885704,1.243654,-1.520926,-2.229314,-2.087590,-1.590475,-0.987941,-0.421165,0.030824,49.930619
-2.541593,26.679064,6.997621,-1.209370,-3.162899,-2.994188,-2.081105,-1.029209,-0.142119,0.442314,0.697628,43.679556
-2.441593,24.965529,3.830565,-3.554365,-4.305520,-3.025980,-1.347630,0.016110,0.789911,0.971059,0.723036,38.544534
-2.341593,23.002547,0.510797,-5.581859,-4.768394,-2.316906,-0.143389,1.053852,1.242791,0.764926,0.083688,33.329871
-2.241593,20.809731,-2.829336,-7.110742,-4.478443,-1.040574,1.110942,1.595951,0.941811,-0.020088,-0.632602,27.828468
-2.141593,18.408991,-6.056671,-8.004444,-3.481445,0.490528,1.977189,1.387450,0.069541,-0.789900,-0.767281,22.715776
-2.041593,15.824315,-9.042547,-8.183133,-1.934803,1.901531,2.152747,0.526409,-0.844912,-0.961931,-0.196525,18.722969
-1.941593,13.081527,-11.667924,-7.630846,-0.082698,2.846973,1.576288,-0.582210,-1.246852,-0.405992,0.554915,15.924998
-1.841593,10.208034,-13.828138,-6.396919,1.782463,3.095377,0.449187,-1.417007,-0.892469,0.457194,0.796169,13.735707
-1.741593,7.232544,-15.437068,-4.591575,3.366212,2.585924,-0.834828,-1.585363,0.003274,0.974385,0.305429,11.500752
-1.641593,4.184790,-16.430571,-2.376078,4.418511,1.443348,-1.827214,-1.008098,0.897031,0.754181,-0.466121,9.071595
-1.541593,1.095222,-16.769039,0.051666,4.773224,-0.052611,-2.181301,0.043291,1.246661,-0.036772,-0.809122,6.843038
-1.441593,-2.005288,-16.438978,2.474795,4.374349,-1.535689,-1.773397,1.074320,0.840083,-0.799897,-0.408219,5.283898
-1.341593,-5.085763,-15.453547,4.676858,3.284861,-2.642776,-0.745995,1.600079,-0.076078,-0.957675,0.367998,4.449782
-1.241593,-8.115422,-13.852032,6.461152,1.676766,-3.102820,0.542005,1.373296,-0.946091,-0.390704,0.805880,3.933849
-1.141593,-11.063994,-11.698280,7.668290,-0.196054,-2.803185,1.640667,0.500630,-1.242218,0.471944,0.502839,3.262458
-1.041593,-13.902019,-9.078154,8.190442,-2.037921,-1.817233,2.166197,-0.607489,-0.784833,0.977434,-0.262509,2.325733
-0.941593,-16.601139,-6.096111,7.980967,-3.558045,-0.386358,1.935012,-1.429898,0.148622,0.743222,-0.786508,1.431581
-0.841593,-19.134387,-2.871036,7.058575,-4.516432,1.139110,1.027871,-1.579803,0.991924,-0.053446,-0.587395,0.956801
-0.741593,-21.476449,0.468499,5.505662,-4.761774,2.385684,-0.238334,-0.986702,1.233539,-0.809667,0.151767,0.954043
-0.641593,-23.603927,3.789356,3.460945,-4.255337,3.048160,-1.421283,0.070460,0.726905,-0.953148,0.751394,1.095345
-0.541593,-25.495561,6.959144,1.107072,-3.077075,2.964340,-2.107736,1.094484,-0.220659,-0.375306,0.660194,0.990713
-0.441593,-27.132453,9.851492,-1.345693,-1.413011,2.154746,-2.057897,1.603755,-1.034375,0.486560,-0.037986,0.556957
-0.341593,-28.498245,12.351093,-3.678251,0.474137,0.817595,-1.289175,1.358754,-1.220653,0.980207,-0.701241,0.076039
-0.241593,-29.579293,14.358294,-5.682241,2.286428,-0.719732,-0.070107,0.474711,-0.666499,0.732053,-0.719779,-0.104346
-0.141593,-30.364795,15.793075,-7.178654,3.737743,-2.080843,1.173451,-0.632597,0.291944,-0.070105,-0.076555,0.074485
-0.041593,-30.846901,16.598237,-8.033820,4.598951,-2.932491,2.007089,-1.442384,1.073298,-0.819208,0.637053,0.321642
0.058407,-31.020795,16.741679,-8.171348,4.734085,-3.066164,2.139593,-1.573796,1.203603,-0.948352,0.764957,0.285282
0.158407,-30.884740,16.217683,-7.578954,4.121811,-2.449132,1.524676,-0.965027,0.603819,-0.359801,0.189563,-0.098283
