x,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,F
-3.141593,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
-3.041593,-0.099833,-0.099335,-0.098507,-0.097355,-0.095885,-0.094107,-0.092031,-0.089670,-0.087036,-0.084147,-0.081019,-0.077670,-0.074120,-0.070389,-0.066500,-0.062473,-0.058333,-0.054103,-0.049805,-0.045465,-0.041105,-0.036750,-0.032422,-0.028144,-0.023939,-1.740143
-2.941593,-0.198669,-0.194709,-0.188214,-0.179339,-0.168294,-0.155340,-0.140779,-0.124947,-0.108205,-0.090930,-0.073500,-0.056289,-0.039654,-0.023928,-0.009408,0.003648,0.015032,0.024584,0.032203,0.037840,0.041504,0.043255,0.043204,0.041507,0.038357,-1.431070
-2.841593,-0.295520,-0.282321,-0.261109,-0.233010,-0.199499,-0.162308,-0.123316,-0.084433,-0.047487,-0.014112,0.014341,0.036877,0.052905,0.062255,0.065169,0.062260,0.054460,0.042931,0.028983,0.013971,-0.000801,-0.014161,-0.025150,-0.033069,-0.037520,-1.379663
-2.741593,-0.389418,-0.358678,-0.310680,-0.249893,-0.181859,-0.112577,-0.047855,0.007297,0.049169,0.075680,0.086509,0.083014,0.067958,0.045090,0.018628,-0.007284,-0.029065,-0.044093,-0.050943,-0.049468,-0.040695,-0.026587,-0.009691,0.007264,0.021761,-1.446419
-2.641593,-0.479426,-0.420735,-0.332498,-0.227324,-0.119694,-0.023520,0.050112,0.094600,0.108614,0.095892,0.064140,0.023285,-0.016548,-0.046928,-0.062533,-0.061835,-0.046970,-0.022895,0.003955,0.027201,0.041890,0.045454,0.038063,0.022357,0.002653,-1.242689
-2.541593,-0.564642,-0.466020,-0.324616,-0.168866,-0.028224,0.073753,0.124511,0.124521,0.085863,0.027942,-0.028322,-0.066139,-0.076811,-0.061043,-0.027475,0.010895,0.041169,0.054496,0.048386,0.026829,-0.001601,-0.026912,-0.041030,-0.040236,-0.026012,-1.329584
-2.441593,-0.644218,-0.492725,-0.287736,-0.083747,0.070157,0.145263,0.140350,0.078908,-0.001868,-0.065699,-0.089833,-0.071217,-0.024546,0.026177,0.058646,0.061199,0.036361,-0.001868,-0.035241,-0.049530,-0.040274,-0.013778,0.016612,0.036982,0.039025,-1.192600
-2.341593,-0.717356,-0.499787,-0.225154,0.014594,0.151360,0.166027,0.090181,-0.014569,-0.088185,-0.098936,-0.053174,0.014527,0.063679,0.069941,0.035772,-0.014469,-0.050539,-0.053648,-0.025600,0.014395,0.042265,0.043129,0.018894,-0.014305,-0.036518,-1.167475
-2.241593,-0.783327,-0.486924,-0.142460,0.110630,0.195506,0.128794,-0.002402,-0.099208,-0.107766,-0.041212,0.041594,0.081745,0.058614,-0.002402,-0.053586,-0.060354,-0.023338,0.026246,0.051793,0.037549,-0.002401,-0.036985,-0.041789,-0.015885,0.019487,-1.148080
-2.141593,-0.841471,-0.454649,-0.047040,0.189201,0.191785,0.046569,-0.093855,-0.123670,-0.045791,0.054402,0.090908,0.044714,-0.032321,-0.070758,-0.043353,0.017994,0.056553,0.041722,-0.007888,-0.045647,-0.039841,0.000402,0.036792,0.037732,0.005294,-1.032214
-2.041593,-0.891207,-0.404248,0.052582,0.237901,0.141108,-0.051924,-0.141167,-0.073115,0.050837,0.099999,0.040877,-0.049339,-0.075906,-0.021651,0.047452,0.059303,0.008765,-0.045204,-0.046693,0.000443,0.042628,0.036512,-0.007238,-0.039762,-0.027970,-1.057017
-1.941593,-0.932039,-0.337732,0.147507,0.249041,0.055883,-0.132278,-0.122086,0.021791,0.108993,0.053657,-0.053825,-0.080471,-0.008289,0.063398,0.050066,-0.021457,-0.058811,-0.021181,0.038079,0.045279,-0.003200,-0.043377,-0.027147,0.020908,0.039521,-0.947770
-1.841593,-0.963558,-0.257751,0.229255,0.220864,-0.043024,-0.166424,-0.045585,0.103478,0.084665,-0.042017,-0.089707,-0.008979,0.071471,0.043202,-0.040369,-0.058050,0.006390,0.054829,0.022072,-0.038128,-0.039397,0.014543,0.043413,0.008927,-0.035355,-0.925234
-1.741593,-0.985450,-0.167494,0.290525,0.157817,-0.131397,-0.142433,0.052354,0.122397,-0.003736,-0.099061,-0.027556,0.073964,0.046526,-0.048712,-0.055777,0.024847,0.057165,-0.003734,-0.052350,-0.013545,0.042979,0.026260,-0.030703,-0.034074,0.017127,-0.884061
-1.641593,-0.997495,-0.070560,0.325843,0.069854,-0.187600,-0.068686,0.125671,0.067072,-0.089309,-0.065029,0.064708,0.062582,-0.046580,-0.059761,0.032478,0.056599,-0.021121,-0.053132,0.011777,0.049402,-0.003999,-0.045451,-0.002499,0.041324,0.007912,-0.796002
-1.541593,-0.999574,0.029187,0.332055,-0.029137,-0.197872,0.029054,0.139883,-0.028939,-0.107295,0.028790,0.086259,-0.028610,-0.071446,0.028397,0.060372,-0.028153,-0.051722,0.027877,0.044735,-0.027571,-0.038941,0.027236,0.034034,-0.026871,-0.029805,-0.798056
-1.441593,-0.991665,0.127771,0.308605,-0.123528,-0.159697,0.116646,0.088305,-0.107395,-0.044082,0.096140,0.013545,-0.083316,0.008357,0.069414,-0.023937,-0.054955,0.034449,0.040464,-0.040701,-0.026454,0.043317,0.013394,-0.042852,-0.001696,0.039843,-0.700028
